2014-04-11 23:00:00;126'105;126'135;126'020;126'105
2014-05-11 23:00:00;126'105;126'150;125'290;125'310
2014-06-11 23:00:00;126'000;126'240;125'270;126'240
2014-09-11 23:00:00;126'215;127'005;126'080;126'080
2014-10-11 23:00:00;126'085;126'110;126'020;126'060
2014-11-11 23:00:00;126'060;126'200;126'035;126'070
2014-12-11 23:00:00;126'070;126'175;126'050;126'160
2014-13-11 23:00:00;126'165;126'240;126'055;126'200
2014-16-11 23:00:00;126'195;127'000;126'135;126'155
2014-17-11 23:00:00;126'160;126'235;126'150;126'215
2014-18-11 23:00:00;126'210;126'225;126'085;126'110
2014-19-11 23:00:00;126'110;126'260;126'110;126'155
2014-20-11 23:00:00;126'165;126'230;126'115;126'220
2014-23-11 23:00:00;126'220;126'280;126'165;126'250
2014-24-11 23:00:00;126'250;127'050;126'220;127'040
2014-25-11 23:00:00;127'035;127'130;127'030;127'090
2014-26-11 23:00:00;126'215;126'300;126'210;126'295
2014-27-11 23:00:00;126'305;127'055;126'260;127'050
2014-30-11 23:00:00;127'065;127'155;126'225;126'250
2014-01-12 23:00:00;126'250;126'265;126'085;126'095
2014-02-12 23:00:00;126'100;126'135;126'050;126'100
2014-03-12 23:00:00;126'110;126'205;126'045;126'200
2014-04-12 23:00:00;126'200;126'205;125'235;125'280
2014-07-12 23:00:00;125'270;126'120;125'175;126'065
2014-08-12 23:00:00;126'065;126'280;126'035;126'210
2014-09-12 23:00:00;126'205;127'070;126'160;127'045
2014-10-12 23:00:00;127'030;127'120;126'190;126'305
2014-11-12 23:00:00;126'295;127'255;126'290;127'230
2014-14-12 23:00:00;127'200;127'280;127'060;127'085
2014-15-12 23:00:00;127'090;128'125;127'085;127'235
2014-16-12 23:00:00;127'230;127'270;126'285;126'315
2014-17-12 23:00:00;126'300;127'075;126'100;126'140
2014-18-12 23:00:00;126'145;126'250;126'090;126'225
2014-21-12 23:00:00;126'220;126'265;126'165;126'230
2014-22-12 23:00:00;126'230;126'255;125'290;125'310
2014-23-12 23:00:00;125'315;126'060;125'210;125'315
2014-25-12 23:00:00;125'315;126'035;125'295;126'000
2014-28-12 23:00:00;126'000;126'155;125'310;126'135
2014-29-12 23:00:00;126'120;126'240;126'120;126'195
2014-30-12 23:00:00;126'195;126'260;126'180;126'230
2015-01-01 23:00:00;126'195;127'105;126'130;127'080
2015-04-01 23:00:00;127'050;127'270;127'015;127'255
2015-05-01 23:00:00;127'240;129'035;127'235;128'160
2015-06-01 23:00:00;128'160;128'220;128'005;128'115
2015-07-01 23:00:00;128'100;128'120;127'310;128'030
2015-08-01 23:00:00;128'035;128'270;128'020;128'240
2015-11-01 23:00:00;128'250;129'045;128'170;129'040
